TIMESTAMP,PROGRAM,ML_COURSE,IR_COURSE,STAT_COURSE,DB_COURSE,GENDER,CHATGPT_USAGE,BIRTHDAY,ROOM_ESTIMATE,STRESS_LEVEL,SPORTS_HOURS,RANDOM_NUMBER,BEDTIME,GOOD_DAY_1,GOOD_DAY_2,ML_COURSE_NUM,IR_COURSE_NUM,DB_COURSE_NUM,CHATGPT_USAGE_NUM,GENDER_CATEGORIZED,ROOM_ESTIMATE_CLEANED,STRESS_LEVEL_CLEANED,SPORTS_HOURS_CLEANED,RANDOM_NUMBER_CLEANED,AGE,BIRTHDAY_MONTH,BIRTHDAY_DAY,BEDTIME_CLEANED,GOOD_DAY_1_CLEAN,GOOD_DAY_2_CLEAN,GOOD_DAY_CLEANED_1,study_pressure,sports_x_chatgpt,sports_squared,chatgpt_squared,age_month_product,ROOM_ESTIMATE_WINSORIZED,ROOM_ESTIMATE_LOG,ROOM_ESTIMATE_SQRT
2025-04-01 12:17:52.062,Econometrics and Operations Research,no,0,mu,nee,female,not willing to say,19.05.2000,100,75,6,777,0.30,Sun,Cappuccino,0.0,0.0,0.0,,female,100.0,75.0,6.0,777.0,24.0,5.0,19.0,00:30:00,sun,cappuccino,weather,0.0,,36.0,,120.0,100.0,4.61512051684126,10.0
2025-04-01 12:17:52.180,Artificial Intelligence,yes,0,mu,ja,female,yes,September 14,550,100000000000000,7,74,2,Sun,Food,1.0,0.0,1.0,1.0,female,550.0,100.0,7.0,74.0,,9.0,14.0,02:00:00,sun,food,weather,2.0,7.0,49.0,1.0,,550.0,6.311734809152915,23.45207879911715
2025-04-01 12:17:52.554,Artificial Intelligence,yes,0,unknown,ja,female,not willing to say,1999,180-200,2,4-5,99,1:00 am,Sunny day,Hanging out with friends,1.0,0.0,1.0,,female,190.0,2.0,4.5,99.0,26.0,4.0,14.0,01:00:00,sunny day,hanging out with friends,weather,2.0,,20.25,,104.0,190.0,5.25227342804663,13.784048752090222
2025-04-01 12:17:52.970,Artificial Intelligence,yes,0,mu,ja,female,yes,11.12.2001,300,3,10,25,12,dance,company,1.0,0.0,1.0,1.0,female,300.0,3.0,10.0,25.0,23.0,12.0,11.0,00:00:00,dance,company,,2.0,10.0,100.0,1.0,276.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:17:54.822,Econometrics and Operations Research,no,0,mu,nee,male,yes,24.01.1999,300,55,2,27,12:00,Spending time with Marc,Nice warm weather,0.0,0.0,0.0,1.0,male,300.0,55.0,2.0,27.0,26.0,1.0,24.0,00:00:00,spending time with marc,nice warm weather,social,0.0,2.0,4.0,1.0,26.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:17:55.682,Artificial Intelligence,yes,0,mu,nee,male,yes,29-070-2000,456,20,9,108,23:57,Yoga,Delicious food,1.0,0.0,0.0,1.0,male,456.0,20.0,9.0,108.0,24.0,7.0,29.0,23:57:00,yoga,delicious food,,1.0,9.0,81.0,1.0,168.0,456.0,6.124683390894205,21.354156504062622
2025-04-01 12:17:56.163,Artificial Intelligence,yes,1,sigma,ja,not willing to answer,yes,24 de Diciembre,20*5*5,100,10,37,05:00,Alcohol,More alcohol,1.0,1.0,1.0,1.0,unknown,500.0,100.0,10.0,37.0,,12.0,24.0,05:00:00,alcohol,more alcohol,,3.0,10.0,100.0,1.0,,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:17:56.830,Computer Science,no,unknown,mu,ja,female,no,01/06/2000,100,100,1,4738,12,grade 10,win lottery ,0.0,,1.0,0.0,female,100.0,100.0,1.0,4738.0,24.0,6.0,1.0,00:00:00,grade 10,win lottery,productivity,,0.0,1.0,0.0,144.0,100.0,4.61512051684126,10.0
2025-04-01 12:17:56.849,Artificial Intelligence,yes,1,sigma,ja,male,yes,11-11-00,250,20,5,11011011,23:30,Socialising ,When I've learned something new,1.0,1.0,1.0,1.0,male,250.0,20.0,5.0,11011011.0,24.0,11.0,11.0,23:30:00,socialising,when i've learned something new,social,3.0,5.0,25.0,1.0,264.0,250.0,5.5254529391317835,15.811388300841896
2025-04-01 12:17:57.672,Artificial Intelligence,yes,0,mu,nee,male,yes,05.11.1997,250,80,4,87,4:00,doing sports,not having anxiety,1.0,0.0,0.0,1.0,male,250.0,80.0,4.0,87.0,27.0,11.0,5.0,04:00:00,doing sports,not having anxiety,activity,1.0,4.0,16.0,1.0,297.0,250.0,5.5254529391317835,15.811388300841896
2025-04-01 12:17:58.407,Computational Science,yes,0,mu,nee,male,yes,27-11-2002,487,30,7,39,22:30,Sports,Free time,1.0,0.0,0.0,1.0,male,487.0,30.0,7.0,39.0,22.0,11.0,27.0,22:30:00,sports,free time,activity,1.0,7.0,49.0,1.0,242.0,487.0,6.1903154058531475,22.06807649071391
2025-04-01 12:17:58.726,Finance and Technology,yes,0,mu,nee,male,yes,20/07/2001,490,75,0,7,00:45,Booking tickets,drinking beers,1.0,0.0,0.0,1.0,male,490.0,75.0,0.0,7.0,23.0,7.0,20.0,00:45:00,booking tickets,drinking beers,,1.0,0.0,0.0,1.0,161.0,490.0,6.19644412779452,22.135943621178654
2025-04-01 12:17:59.222,Computer Science,yes,1,mu,ja,female,yes,2000,300,10,2,77945354356758979022123,00:30,seeing friends,no work,1.0,1.0,1.0,1.0,female,300.0,10.0,2.0,7.794535435675898e+22,25.0,4.0,14.0,00:30:00,seeing friends,no work,social,3.0,2.0,4.0,1.0,100.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:18:01.238,Humanities Research,yes,0,unknown,ja,female,yes,23-12-2002,450,10,3,1934,01:30,Nice weather,No work,1.0,0.0,1.0,1.0,female,450.0,10.0,3.0,1934.0,22.0,12.0,23.0,01:30:00,nice weather,no work,weather,2.0,3.0,9.0,1.0,264.0,450.0,6.111467339502679,21.213203435596427
2025-04-01 12:18:03.419,Artificial Intelligence,no,0,mu,ja,female,yes,16/03/2002,550,50,8,8,00:30,Good food,Sun ,0.0,0.0,1.0,1.0,female,550.0,50.0,8.0,8.0,23.0,3.0,16.0,00:30:00,good food,sun,food_drink,1.0,8.0,64.0,1.0,69.0,550.0,6.311734809152915,23.45207879911715
2025-04-01 12:18:03.599,Artificial Intelligence,yes,0,mu,ja,male,yes,09-05-2002,350,45,4,69420,23:30,Feeling energized,Reaching the goals I set for myself that day,1.0,0.0,1.0,1.0,male,350.0,45.0,4.0,69420.0,22.0,5.0,9.0,23:30:00,feeling energized,reaching the goals i set for myself that day,sleep,2.0,4.0,16.0,1.0,110.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:04.704,Finance and Technology,yes,0,mu,ja,male,yes,18-05-2003,300,5,8,14,12,Sports,Friends,1.0,0.0,1.0,1.0,male,300.0,5.0,8.0,14.0,21.0,5.0,18.0,00:00:00,sports,friends,activity,2.0,8.0,64.0,1.0,105.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:18:05.920,Business Analytics,yes,1,mu,ja,female,yes,11/11/2002,450,89,7,69,23:40,Bubble tea,Dog,1.0,1.0,1.0,1.0,female,450.0,89.0,7.0,69.0,22.0,11.0,11.0,23:40:00,bubble tea,dog,food_drink,3.0,7.0,49.0,1.0,242.0,450.0,6.111467339502679,21.213203435596427
2025-04-01 12:18:05.940,Econometrics and Operations Research,yes,1,mu,ja,male,no,2000,350,0,4,14,3,No school,High grade,1.0,1.0,1.0,0.0,male,350.0,0.0,4.0,14.0,25.0,4.0,14.0,03:00:00,no school,high grade,mental_wellbeing,3.0,0.0,16.0,0.0,100.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:06.175,Artificial Intelligence,yes,unknown,mu,ja,male,not willing to say,26,200,49,7,420,2am,Warm,Sun,1.0,,1.0,,male,200.0,49.0,7.0,420.0,,4.0,26.0,02:00:00,warm,sun,,,,49.0,,,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:18:06.626,Artificial Intelligence,yes,1,mu,ja,male,yes,29th September 2001,600,1000,4,66,1am,Going to gym,Weed,1.0,1.0,1.0,1.0,male,600.0,100.0,4.0,66.0,23.0,9.0,29.0,01:00:00,going to gym,weed,activity,3.0,4.0,16.0,1.0,207.0,600.0,6.398594934535208,24.49489742783178
2025-04-01 12:18:07.173,Artificial Intelligence,yes,1,mu,ja,male,yes,21-11-2002,200,0,69,199389299284884742829r7747r8e9w929e94747uch38838udud8388383838e8e8e8e8e8e8d8du8s888x8d88d8u,2:00,Ajax winning,Drugs,1.0,1.0,1.0,1.0,male,200.0,0.0,,,22.0,11.0,21.0,02:00:00,ajax winning,drugs,,3.0,,,1.0,242.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:18:07.704,Artificial Intelligence,yes,1,mu,ja,female,yes,December 14th,320,70,12,4,23:59,Sun,Interacting with my loved ones,1.0,1.0,1.0,1.0,female,320.0,70.0,12.0,4.0,,12.0,14.0,23:59:00,sun,interacting with my loved ones,weather,3.0,12.0,144.0,1.0,,320.0,5.771441123130016,17.88854381999832
2025-04-01 12:18:07.943,Computer Science,no,0,mu,ja,male,yes,2001-09-16,200,30,5,2324234234234432434,12,nothing to do,can do anything,0.0,0.0,1.0,1.0,male,200.0,30.0,5.0,2.3242342342344325e+18,23.0,9.0,16.0,00:00:00,nothing to do,can do anything,,1.0,5.0,25.0,1.0,207.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:18:08.208,Computer Science,yes,1,sigma,ja,not willing to answer,not willing to say,1997,300,72,2,73,00:00,Beer ,Wine ,1.0,1.0,1.0,,unknown,300.0,72.0,2.0,73.0,28.0,4.0,14.0,00:00:00,beer,wine,,3.0,,4.0,,112.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:18:09.862,Computer Science,yes,1,mu,ja,male,no,16-08-1996,350,5,9,-1,01:00,A cold beer,Kissing the homies for good night ,1.0,1.0,1.0,0.0,male,350.0,5.0,9.0,-1.0,28.0,8.0,16.0,01:00:00,a cold beer,kissing the homies for good night,,3.0,0.0,81.0,0.0,224.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:11.181,Artificial Intelligence,yes,0,sigma,nee,intersex,yes,69.69.2069,450,60,3,358,04:00,Happy,Friends,1.0,0.0,0.0,1.0,gender_non_conforming,450.0,60.0,3.0,358.0,,,,04:00:00,happy,friends,mental_wellbeing,1.0,3.0,9.0,1.0,,450.0,6.111467339502679,21.213203435596427
2025-04-01 12:18:11.461,Artificial Intelligence,no,0,mu,ja,female,yes,26/11/1998,150,60,2,42,2am,Good meal,Sunny day,0.0,0.0,1.0,1.0,female,150.0,60.0,2.0,42.0,26.0,11.0,26.0,02:00:00,good meal,sunny day,food_drink,1.0,2.0,4.0,1.0,286.0,150.0,5.017279836814924,12.24744871391589
2025-04-01 12:18:11.855,Artificial Intelligence,yes,1,sigma,ja,not willing to answer,yes,23 maart,375,6,10,61,23-00,Az winning,Went to the gym,1.0,1.0,1.0,1.0,unknown,375.0,6.0,10.0,61.0,,3.0,23.0,23:00:00,az winning,went to the gym,,3.0,10.0,100.0,1.0,,375.0,5.929589143389895,19.364916731037084
2025-04-01 12:18:12.045,Artificial Intelligence,yes,0,mu,ja,male,yes,14-09-2000,200,13,6,7,00:00,Sunny,Pilsie,1.0,0.0,1.0,1.0,male,200.0,13.0,6.0,7.0,24.0,9.0,14.0,00:00:00,sunny,pilsie,weather,2.0,6.0,36.0,1.0,216.0,200.0,5.303304908059076,14.142135623730951
2025-04-01 12:18:12.624,Artificial Intelligence,yes,1,mu,ja,male,yes,-,350,0,5,69,4am,Free time,Videogames,1.0,1.0,1.0,1.0,male,350.0,0.0,5.0,69.0,,,,04:00:00,free time,videogames,,3.0,5.0,25.0,1.0,,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:12.767,Business Analytics,yes,0,mu,nee,female,yes,20.05.2001,500,2,4,7,01.00,"Sun, good food, being productive",Travelling,1.0,0.0,0.0,1.0,female,500.0,2.0,4.0,7.0,23.0,5.0,20.0,01:00:00,"sun, good food, being productive",travelling,weather,1.0,4.0,16.0,1.0,115.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:18:12.943,Artificial Intelligence,no,0,mu,unknown,male,yes,28-12-1999,400,60,6,87,00.30,Praying 5 times on time,Seeing my parents and my younger brother doing fine,0.0,0.0,,1.0,male,400.0,60.0,6.0,87.0,25.0,12.0,28.0,00:30:00,praying 5 times on time,seeing my parents and my younger brother doing fine,,,6.0,36.0,1.0,300.0,400.0,5.993961427306569,20.0
2025-04-01 12:18:13.778,Artificial Intelligence,no,0,mu,ja,male,yes,January 16th,187,11,7,6969696,2.30,Gym,Edda,0.0,0.0,1.0,1.0,male,187.0,11.0,7.0,6969696.0,,1.0,16.0,02:30:00,gym,edda,activity,1.0,7.0,49.0,1.0,,187.0,5.236441962829949,13.674794331177344
2025-04-01 12:18:13.841,Artificial Intelligence,yes,1,mu,ja,female,not willing to say,23-05,500,60,6,5,1am,sun,more sun ,1.0,1.0,1.0,,female,500.0,60.0,6.0,5.0,,5.0,23.0,01:00:00,sun,more sun,weather,3.0,,36.0,,,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:18:14.118,Computational Science,no,0,mu,ja,female,yes,19 July 1997,350,35,7,95836,1 AM,Getting enough sleep,Healthy breakfast,0.0,0.0,1.0,1.0,female,350.0,35.0,7.0,95836.0,27.0,7.0,19.0,01:00:00,getting enough sleep,healthy breakfast,sleep,1.0,7.0,49.0,1.0,189.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:15.513,Bioinformatics and Systems Biology,yes,unknown,mu,unknown,male,no,10/12/1994,300,15,5,Random,12:00 pm,A good day,A bad day,1.0,,,0.0,male,300.0,15.0,5.0,,30.0,12.0,10.0,12:00:00,a good day,a bad day,,,0.0,25.0,0.0,360.0,300.0,5.707110264748875,17.320508075688775
2025-04-01 12:18:16.059,Computer Science,yes,1,mu,ja,female,yes,20.06,400,66,6,12,23:30,Sunny weather ,Good grades ,1.0,1.0,1.0,1.0,female,400.0,66.0,6.0,12.0,,6.0,20.0,23:30:00,sunny weather,good grades,weather,3.0,6.0,36.0,1.0,,400.0,5.993961427306569,20.0
2025-04-01 12:18:16.692,Artificial Intelligence,yes,0,mu,nee,female,yes,30/09/2002,80,80,6,47,22.00,Sunny day spent with friends ,going to a rave,1.0,0.0,0.0,1.0,female,80.0,80.0,6.0,47.0,22.0,9.0,30.0,22:00:00,sunny day spent with friends,going to a rave,weather,1.0,6.0,36.0,1.0,198.0,100.0,4.394449154672439,8.94427190999916
2025-04-01 12:18:17.170,Artificial Intelligence,no,0,sigma,ja,not willing to answer,yes,01-01-1900,500,100,2,89,5,Sun,Sun,0.0,0.0,1.0,1.0,unknown,500.0,100.0,2.0,89.0,,1.0,1.0,05:00:00,sun,sun,weather,1.0,2.0,4.0,1.0,,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:18:17.584,Computer Science,yes,1,unknown,ja,female,yes,23,450,20,0,8,11,Rain,Chocolate,1.0,1.0,1.0,1.0,female,450.0,20.0,0.0,8.0,,4.0,23.0,23:00:00,rain,chocolate,weather,3.0,0.0,0.0,1.0,,450.0,6.111467339502679,21.213203435596427
2025-04-01 12:18:18.017,Artificial Intelligence,yes,0,mu,nee,male,yes,15-02,450,90,10,4141,12:30am,When the sun is out,Having the time to run,1.0,0.0,0.0,1.0,male,450.0,90.0,10.0,4141.0,,2.0,15.0,00:30:00,when the sun is out,having the time to run,weather,1.0,10.0,100.0,1.0,,450.0,6.111467339502679,21.213203435596427
2025-04-01 12:18:18.731,Business Analytics,yes,unknown,mu,nee,male,not willing to say,13/03/2002,220,40,9,15,23:00,Get a lot of sleep(at least 8 hours),Eat good food,1.0,,0.0,,male,220.0,40.0,9.0,15.0,23.0,3.0,13.0,23:00:00,get a lot of sleep(at least 8 hours),eat good food,sleep,,,81.0,,69.0,220.0,5.3981627015177525,14.832396974191326
2025-04-01 12:18:19.315,Artificial Intelligence,yes,1,mu,ja,non-binary,not willing to say,08.10.2001,250,30,4,6,2,happiness ,sun,1.0,1.0,1.0,,gender_non_conforming,250.0,30.0,4.0,6.0,23.0,10.0,8.0,02:00:00,happiness,sun,mental_wellbeing,3.0,,16.0,,230.0,250.0,5.5254529391317835,15.811388300841896
2025-04-01 12:18:19.741,Artificial Intelligence,yes,0,mu,ja,male,yes,21/10/2001,430,30,8,37,00:30,Doing things I want to do,Not having to do things I don't want to do,1.0,0.0,1.0,1.0,male,430.0,30.0,8.0,37.0,23.0,10.0,21.0,00:30:00,doing things i want to do,not having to do things i don't want to do,,2.0,8.0,64.0,1.0,230.0,430.0,6.066108090103747,20.73644135332772
2025-04-01 12:18:19.773,Artificial Intelligence,yes,1,mu,ja,female,yes,10-12-1999,500,65,4,168,23:00,sun,not encountering a stressful situation,1.0,1.0,1.0,1.0,female,500.0,65.0,4.0,168.0,25.0,12.0,10.0,23:00:00,sun,not encountering a stressful situation,weather,3.0,4.0,16.0,1.0,300.0,500.0,6.2166061010848646,22.360679774997898
2025-04-01 12:18:20.001,Computational Science,yes,0,mu,ja,male,yes,21/06/2001,250,200,5,42,23:00,Sex,Alcohol ,1.0,0.0,1.0,1.0,male,250.0,100.0,5.0,42.0,23.0,6.0,21.0,23:00:00,sex,alcohol,,2.0,5.0,25.0,1.0,138.0,250.0,5.5254529391317835,15.811388300841896
2025-04-01 12:18:20.104,Econometrics and Operations Research,yes,1,mu,ja,male,yes,28-02-2001,350,42,10,5347833,2300,Good food and no econometrics courses,"Sun, exercise and beer",1.0,1.0,1.0,1.0,male,350.0,42.0,10.0,5347833.0,24.0,2.0,28.0,23:00:00,good food and no econometrics courses,"sun, exercise and beer",food_drink,3.0,10.0,100.0,1.0,48.0,350.0,5.860786223465865,18.708286933869708
2025-04-01 12:18:20.162,Computer Science,no,1,unknown,nee,male,yes,28-06-2002,380,99999,10,7777,2 pm,weed,alcohol,0.0,1.0,0.0,1.0,male,380.0,100.0,10.0,7777.0,22.0,6.0,28.0,14:00:00,weed,alcohol,,1.0,10.0,100.0,1.0,132.0,380.0,5.942799375126701,19.493588689617926
