Timestamp;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;I have used ChatGPT to help me with some of my study assignments ;When is your birthday (date)?;How many students do you estimate there are in the room?;What is your stress level (0-100)?;How many hours per week do you do sports (in whole hours)? ;Give a random number;Time you went to bed Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
4-1-2025 12:18:06;Econometrics and operations research ;yes;1;mu;ja;male;no;2000;350;0;4;14;3;No school;High grade
4-1-2025 12:18:06;AI;yes;unknown;mu;ja;male;not willing to say;26;200;49;7;420;2am;Warm;Sun
4-1-2025 12:18:07;Masters in AI;yes;1;mu;ja;male;yes;29th September 2001;600;1000;4;66;1am;Going to gym;Weed
4-1-2025 12:18:07;AI;yes;1;mu;ja;male;yes;21-11-2002;200;0;69;199389299284884742829r7747r8e9w929e94747uch38838udud8388383838e8e8e8e8e8e8d8du8s888x8d88d8u;2:00;Ajax winning;Drugs
4-1-2025 12:18:08;Master Artifical Intelligence;yes;1;mu;ja;female;yes;December 14th;320;70;12;4;23:59;Sun;Interacting with my loved ones
4-1-2025 12:18:08;Computer Science;no;0;mu;ja;male;yes;2001-09-16;200;30;5;2324234234234432434;12;nothing to do;can do anything
4-1-2025 12:18:08;Security ;yes;1;sigma;ja;not willing to answer;not willing to say;1997;300;72;2;73;00:00;Beer ;Wine 
4-1-2025 12:18:10;MSc Computer Science SEG;yes;1;mu;ja;male;no;16-08-1996;350;5;9;-1;01:00;A cold beer;Kissing the homies for good night 
4-1-2025 12:18:11;Master AI;yes;0;sigma;nee;intersex;yes;69.69.2069;450;60;3;358;04:00;Happy;Friends
4-1-2025 12:18:11;AI;no;0;mu;ja;female;yes;26/11/1998;150;60;2;42;2am;Good meal;Sunny day
4-1-2025 12:18:12;AI;yes;1;sigma;ja;not willing to answer;yes;23 maart;375;6;10;61;23-00;Az winning;Went to the gym
4-1-2025 12:18:12;AI;yes;0;mu;ja;male;yes;14-09-2000;200;13;6;7;00:00;Sunny;Pilsie
4-1-2025 12:18:13;AI;yes;1;mu;ja;male;yes;-;350;0;5;69;4am;Free time;Videogames
4-1-2025 12:18:13;Business Analytics;yes;0;mu;nee;female;yes;20.05.2001;500;2;4;7;01.00;Sun, good food, being productive;Travelling
4-1-2025 12:18:13;Artificial Intelligence;no;0;mu;unknown;male;yes;28-12-1999;400;60;6;87;00.30;Praying 5 times on time;Seeing my parents and my younger brother doing fine
4-1-2025 12:18:14;Artificial Intelligence ;no;0;mu;ja;male;yes;January 16th;187;11;7;6969696;2.30;Gym;Edda
4-1-2025 12:18:14;AI;yes;1;mu;ja;female;not willing to say;23-05;500;60;6;5;1am;sun;more sun 
4-1-2025 12:18:14;Computational Science ;no;0;mu;ja;female;yes;19 July 1997;350;35;7;95836;1 AM;Getting enough sleep;Healthy breakfast
4-1-2025 12:18:16;Bioinformatics;yes;unknown;mu;unknown;male;no;10/12/1994;300;15;5;Random;12:00 pm;A good day;A bad day
4-1-2025 12:18:16;CS;yes;1;mu;ja;female;yes;20.06;400;66;6;12;23:30;Sunny weather ;Good grades 
4-1-2025 12:18:17;AI;yes;0;mu;nee;female;yes;30/09/2002;80;80;6;47;22.00;Sunny day spent with friends ;going to a rave
4-1-2025 12:18:17;AI;no;0;sigma;ja;not willing to answer;yes;01-01-1900;500;100;2;89;5;Sun;Sun
4-1-2025 12:18:18;CS;yes;1;unknown;ja;female;yes;23;450;20;0;8;11;Rain;Chocolate
4-1-2025 12:18:18;AI masters;yes;0;mu;nee;male;yes;15-02;450;90;10;4141;12:30am;When the sun is out;Having the time to run
4-1-2025 12:18:19;Business analytics ;yes;unknown;mu;nee;male;not willing to say;13/03/2002;220;40;9;15;23:00;Get a lot of sleep(at least 8 hours);Eat good food
4-1-2025 12:18:19;AI;yes;1;mu;ja;non-binary;not willing to say;08.10.2001;250;30;4;6;2;happiness ;sun
4-1-2025 12:18:20;AI;yes;0;mu;ja;male;yes;21/10/2001;430;30;8;37;00:30;Doing things I want to do;Not having to do things I don't want to do
4-1-2025 12:18:20;AI;yes;1;mu;ja;female;yes;10-12-1999;500;65;4;168;23:00;sun;not encountering a stressful situation
4-1-2025 12:18:20;Computational science;yes;0;mu;ja;male;yes;21/06/2001;250;200;5;42;23:00;Sex;Alcohol 
4-1-2025 12:18:20;Econometrics ;yes;1;mu;ja;male;yes;28-02-2001;350;42;10;5347833;2300;Good food and no econometrics courses;Sun, exercise and beer
4-1-2025 12:18:20;Masters Computer Science;no;1;unknown;nee;male;yes;28-06-2002;380;99999;10;7777;2 pm;weed;alcohol
4-1-2025 12:18:21;Computer Science ;yes;0;mu;ja;female;yes;10112000;5;60;4;8;23;Sunshine;Friends 
4-1-2025 12:18:22;Ai;yes;0;mu;unknown;male;yes;08031998;350;15;6;42;23:00;Good weather;Chilling
4-1-2025 12:18:22;AI;yes;1;mu;ja;female;yes;January 9th;400;30;4;77;23:55;Sunny weather;Good food
4-1-2025 12:18:26;Computational Science;yes;unknown;mu;ja;female;yes;28/05;330;47;12;30;23:45;Good food;Sun
4-1-2025 12:18:26;Computational Science ;yes;0;mu;ja;female;yes;26/10/2001;350;10;12;3;2am;sun;good food
4-1-2025 12:18:27;CS;yes;1;unknown;nee;male;yes;21/07/2002;200;20;15;6;1:30am;delicious food;alcohol dose
4-1-2025 12:18:27;Master AI (UvA);yes;1;sigma;ja;male;yes;not today;250;20;3;42;0:30;no responsibilities;nice weather
4-1-2025 12:18:27;Econometrics & Data Science;yes;1;mu;ja;male;yes;25-01-2003;385;6;7;10;00:00;Food;Sun
4-1-2025 12:18:28;Computational Science;yes;0;mu;nee;female;yes;13/02;390;37;4;197367;1am;Sun ;Good food
4-1-2025 12:18:28;Econometrics;yes;0;mu;ja;male;yes;15/02/2002;375;50;4;1;12;Travel;Active
4-1-2025 12:18:30;Artificial Intelligence ;yes;1;sigma;ja;male;yes;02.04.2005;195;0;10;7;12:34;Not having looking for x ;Spots
4-1-2025 12:18:31;Comp sci;no;0;sigma;nee;gender fluid;yes;X;300;30;4;73;1;Sun;Sub
4-1-2025 12:18:31;Msc International Public Health;no;1;mu;nee;female;yes;21-03-2002;234;40;7;8;23:30;Coffee;Running in the sun
4-1-2025 12:18:31;Computer Science MSc.;yes;1;mu;ja;other;yes;04 February ;330;Over 9000;0;37;5am;Got nothing to do;Interesting activities
4-1-2025 12:18:32;Computational Science;yes;unknown;mu;nee;male;yes;98/12/04;480;75;3;7;1;Achivements;Socialising
4-1-2025 12:18:33;AI;yes;unknown;mu;ja;male;yes;-;291;79;0;74;2 am;Being with someone i love;No assignment deadline!!!
4-1-2025 12:18:33;MSc Computer Science;yes;1;sigma;ja;male;not willing to say;Lol;550;42.0;4;69;00:40;Eating burrata;Eating pasta
4-1-2025 12:18:34;Ai master;yes;0;mu;ja;female;yes;26 10 2001;200;30;0;7;1:30;My boyfriend;My friends 
4-1-2025 12:18:34;MSc Computer Science;yes;0;mu;ja;female;yes;10-10;500;100;3;3;12:45;Cats;Sun
4-1-2025 12:18:34;Master Artificial Inteligence;yes;1;unknown;ja;intersex;not willing to say;22/01/2002;420;100;8;40;11:35;-1;-2
4-1-2025 12:18:34;Bioinformatics and system biology;no;0;sigma;nee;female;yes;20010831;200;10;8;11;1:00;Delicious food;Nice weather
4-1-2025 12:18:35;Business Analytics;yes;1;mu;ja;male;not willing to say;14-07-2003;350;85;7;4;01:30;A beer after a exam;Seeing my dog
4-1-2025 12:18:35;Artificial Intelligence ;yes;1;unknown;ja;female;yes;02-01-2001 ;289;40;6;9,582E+12;23:25;Sun;Good exam result
4-1-2025 12:18:36;Business analytics;yes;1;mu;ja;female;not willing to say;21052025;400;40;3;9;21:45;Sleeping in;No assignments
4-1-2025 12:18:36;computational science ;yes;0;mu;ja;male;yes;05/01;350;25;20;40;23:00;feeling good ;productive
4-1-2025 12:18:37;Bioinformatics and Systems Biology;yes;0;mu;nee;male;yes;30-09-2002;250;0;7;69;23:00;Sun;Sports
4-1-2025 12:18:37;Computational Science;yes;0;mu;nee;male;not willing to say;Muhahahah;250;110;5;42;0:30;Doggo;Food
4-1-2025 12:18:37;AI;yes;unknown;mu;nee;not willing to answer;yes;07/08/1934;70000;900;10;7;23:00;Good talks;Productivity
4-1-2025 12:18:38;Bioinformatics;yes;1;mu;nee;male;yes;22-08-1998;250;60;4;89867;23:30;Cats;Candy
4-1-2025 12:18:38;bioinformatics;yes;0;mu;nee;female;not willing to say;09/11/2001;600;40;0;658;7pm;money;love
4-1-2025 12:18:39;AI Master;yes;0;mu;ja;male;yes;26/07/2001;600;22;5;236;11:33 PM;eating good food;having a nice nap
4-1-2025 12:18:39;AI;yes;1;unknown;ja;female;yes;20/09;150;20;4;11;12;Good sleep;No uni
4-1-2025 12:18:39;Computer Science;yes;0;unknown;ja;not willing to answer;yes;05082000;300;13;6;1738;2;People;Food
4-1-2025 12:18:40;Econometrics;yes;1;mu;ja;male;yes;04-04-2004;425;5;3;4;23:00;Hanging out with friends;No responsibilities
4-1-2025 12:18:41;Business analytics;yes;0;unknown;ja;male;yes;20-08-2004;287;23;23;184365902143674301;22:40;Sports;Friends
4-1-2025 12:18:41;Computational Science;yes;0;mu;ja;male;no;03-04-2000;300;100;0;7;23:00;Not going to uni;No deadlines
4-1-2025 12:18:41;Artificial Intelligence;no;0;sigma;ja;male;yes;25-10-2002;300;30;7;9;00:30;Sports;Good sleep
4-1-2025 12:18:43;Computer science ;no;0;sigma;nee;female;yes;11-04-1999;220;67;4;4;4am;I take the ADHD medicine ;go out with friends 
4-1-2025 12:18:44;Computational science;no;0;mu;ja;male;yes;1991.01.27;300;1;7;33;1:00;No assignments need to do;No lectures
4-1-2025 12:18:44;MSc Bioinformatics and Systems Biology;yes;unknown;unknown;unknown;male;yes;1.1.2000;500;69;10;69;Midnight;Sun;Friends
4-1-2025 12:18:44;Security ;yes;0;unknown;ja;male;no;September;483;π©;3;64;3AM;Sleep;Food
4-1-2025 12:18:44;Msc AI;yes;1;mu;ja;male;yes;November 1999;approx 300;75;4;314.159.265.359;23:00;Passing EDDA;The sun
4-1-2025 12:18:44;Artificial Intelligence;yes;1;mu;nee;female;yes;25/12;450;60;1;44;23:30;Nice weather;Free time
4-1-2025 12:18:45;Bioinformatics and Systems Biology;no;0;mu;ja;male;yes;0000;240;100;2;8;03:00;no studying;gaming
4-1-2025 12:18:45;Mathematics;yes;1;mu;ja;male;yes;1997-21-01;357;7;5;69420;3am;You :);You again :)
4-1-2025 12:18:46;Duisenberg Honours Programme in Finance and Technology ;yes;0;mu;ja;male;yes;10-01-2000;500;40;2;1;01:23;Making someone smile;Smiling
4-1-2025 12:18:46;MSc Artificial Intelligence;no;0;mu;nee;male;yes;26;297;69;6;426;2300;Mild weather, no lectures, good food;No assignments, no exam stress
4-1-2025 12:18:46;computer science;no;unknown;unknown;unknown;male;not willing to say;07 232001;500;80;6;5;8;eating;play 
4-1-2025 12:18:46;Human Language Technology (RM);yes;0;mu;nee;male;yes;Mid February;300;20;8;891230124;01:30;Friends;Activity and food
4-1-2025 12:18:47;Master Business Analytics;yes;unknown;mu;ja;female;yes;14 02 1999;480;0;8;10;23;Peace;Nature
4-1-2025 12:18:47;Finance and Technology;yes;0;mu;nee;male;yes;26-04-2001;350;20;8;124;23:30;Sports;Focus
4-1-2025 12:18:48;Computational Science;no;0;mu;nee;male;yes;Aug 2000;300;55;6;47;00:31;Motorcycle ride;Social interaction
4-1-2025 12:18:48;Master AI;yes;1;sigma;ja;intersex;not willing to say;06/10;500;100;3;420;2am;Studying;Learning
4-1-2025 12:18:48;masters in computer science track: software engineering and green IT;yes;1;mu;ja;male;yes;02/09/2003;366;57;6;9999999999;00:40;go out of the house ;play a sport and instrument 
4-1-2025 12:18:49;Masters in AI (Health Track);no;1;mu;ja;male;yes;24/02/2002;300;15;8;67;00:30;Doing a sport;Playing my bass guitar
4-1-2025 12:18:49;Artificial Intelligence;yes;0;mu;nee;male;yes;23/07/2001;300;45;4;23;2;beer;another beer
4-1-2025 12:18:49;MSc Artificial Intelligence;yes;0;unknown;ja;male;yes;undisclosed;123;90;4;Ø;3:54;grounded;social, speding quality time with friends
4-1-2025 12:18:49;MSc. in Computer Science ;yes;1;unknown;ja;male;yes;31 January 1999;300ish?;75;3;81;3 AM x);Chilling with buddies;GAMING
4-1-2025 12:18:49;cs joint;no;1;mu;ja;male;yes;12-12-1921;450;101;168;3737;1;Money;Less money
4-1-2025 12:18:50;AI;yes;1;mu;ja;male;yes;05/12;125;101;4.5;245819732157863251872726618812736168172715169485342146436918753;23:00;good food;finish task
4-1-2025 12:18:51;M Artificial intelligence ;no;0;mu;ja;male;yes;23/02;200;65;3;4;02:00;Coffee;Motivation 
4-1-2025 12:18:51;Artificial Intelligence;yes;0;sigma;ja;male;yes;nonono;378;-10;2h;cleanMe12;4am;gezelligheid;see above
4-1-2025 12:18:52;Artificial Intelligence master degree;yes;1;mu;ja;female;not willing to say;20.09.2002;Around 200;30;5;13;11:30pm;Productivity;Nice weather
4-1-2025 12:18:53;AI;yes;unknown;mu;nee;female;yes;03/10/2001;400;40;10;3;12;workout;sun
4-1-2025 12:18:53;CS;yes;1;sigma;ja;male;not willing to say;09/10/2000;390;101;3;7;5am;A day outside;Jamming with the homies
4-1-2025 12:18:53;Bioinformatics And Systems Biology;yes;1;mu;nee;male;yes;11-01-2001;500;25;5;27;23:30;Waking up refreshed;exercise
4-1-2025 12:18:53;Bioinformatics;yes;0;unknown;nee;male;yes;11/6;300;99;7;77;1:30;no class;nice weather
4-1-2025 12:18:53;Master computational science;no;0;sigma;nee;male;yes;24th november;280;40;6;18282;22:00;Nice weather;Nice girls
4-1-2025 12:18:54;MSc Bioinformatics and Systems Biology;yes;0;mu;nee;female;not willing to say;16.11.2001;450;80;3;17;00:30;sleeping;going for a walk
4-1-2025 12:18:55;Master CS;yes;1;sigma;ja;male;no;16/02/1999;150;0;8;75;5:00am;Fun;Fun 2
4-1-2025 12:18:55;Biomedical science;no;unknown;sigma;ja;male;yes;13 january;230;69;15;46.789.901.874.822.500;22:00;Reaching my calory goal;Sleeping 8 hours
4-1-2025 12:18:55;Business Analytics;yes;0;mu;ja;female;yes;28/06/2002;250;50;0😭😭😭;3;12:30;feeling productive;socializing 
4-1-2025 12:18:55;Big-Data Engineering;yes;0;unknown;ja;male;not willing to say;20.01;118;24;6;31;12.30;Low stress;Progress
4-1-2025 12:18:56;Bioinformatics and Systems Biology ;no;1;sigma;ja;female;yes;29-04-2002;375;30;6;3;23:30;Sun;-
4-1-2025 12:18:56;Master. Computer science (bed) (joint degree);yes;1;sigma;ja;female;yes;02-01-2003;Idk;40;10;13;23:30;Stick to my daily routine;Connect with some good person
4-1-2025 12:18:56;Econometrics;yes;0;mu;ja;not willing to answer;no;de vijftiende dag van de vierde maand;460;30;zero;achtduizendvierhonderdvijfendertig komma zesenvijftig;around midnight;no lectures;sleeping
4-1-2025 12:18:56;computer science msc;yes;1;mu;ja;female;yes;00-00-0000;200;30;5;1,73425E+14;22:30;Running in the morning;Meeting new people
4-1-2025 12:18:57;EOR;yes;1;mu;ja;male;yes;23/01/2001;300;0;4;271828;23u30;Good sleep;Free time
4-1-2025 12:18:57;AI;yes;0;mu;ja;male;yes;13-05-2000;400;10;10;21;00:30;Sun and good food;Good food and sun
4-1-2025 12:18:58;Computer science ;no;0;unknown;ja;female;yes;9.4;250;65;2;9;1.22am;With friends I love;Sunny days
4-1-2025 12:18:59;Artificial Intelligence;yes;0;mu;nee;female;yes;December;340;40;9;1672;01:00;Friends;Drinks
4-1-2025 12:18:59;Master AI;yes;0;mu;nee;female;yes;10/07;400;35;6;823;1am;Sunshine;Nice food
4-1-2025 12:18:59;Master AI;yes;0;mu;ja;female;no;03-01-2001;250;100;4;11;23.30;Sun Shining;Drinking Matcha in the Sun
4-1-2025 12:19:00;computational science;yes;0;mu;nee;female;yes;april 3rd;100;20;5;51;0:00;sunshine;no exam
4-1-2025 12:19:00;Computer Science (SEG);no;1;sigma;ja;male;yes;07.02.1997;450;40;10;8473;00:00;The sun;Sports
4-1-2025 12:19:00;Humanities Research Master;yes;0;mu;ja;female;yes;december;350;87;1;27.4;2 am;getting some work done;time to make music
4-1-2025 12:19:01;Econometrics and Data Science;yes;1;mu;ja;female;yes;20.07.2002;450;10;3-4;22;23:00;Sun;friends
4-1-2025 12:19:01;AI;yes;0;mu;ja;female;yes;01/09;450;25;2;55678686;02:00;Sunshine;Food
4-1-2025 12:19:02;Business Analytics;yes;1;mu;ja;female;yes;03/01/2000;400;60;7;25;23:00;being able to exercise;get outside
4-1-2025 12:19:02;Master AI;yes;1;mu;ja;male;yes;05-03-2001;400;40;16;90;22:30;Performing some sports;Positive people around me 
4-1-2025 12:19:02;Business analytics ;yes;unknown;sigma;ja;male;yes;11-09-2002;380;40;12;858282281825663728188;22:30;When the sun is out;What makes a good day for you (2)? 
4-1-2025 12:19:02;MSc in AI;yes;0;mu;ja;female;yes;December 27;550;20;3;77;1 am;Good Breakfast;Sunshine
4-1-2025 12:19:03;Masters in Artificial Intelligence;yes;1;unknown;ja;male;yes;18/11/2000;384;-10000;14;9;12;productivity;music
4-1-2025 12:19:04;CS;no;unknown;mu;ja;male;yes;NA;450;30;6;76;3:00 ;Videogames all day;Good food for free
4-1-2025 12:19:05;MSc Finance: Finance and Technology Honoursprogramme;yes;unknown;mu;nee;male;yes;17 augustus 2001;250;58;3;5;01:30;Not a lot of assignments;Sports and guitar
4-1-2025 12:19:05;Econometrics and Data Science;yes;1;mu;nee;male;not willing to say;13-12-2003;250;23,23;7;00;00:30;productivity;nice food
4-1-2025 12:19:06;FinTech;yes;0;mu;nee;male;not willing to say;15-08-2000;400;60;10;158;3am;Sports;Food
4-1-2025 12:19:06;Master;yes;0;mu;nee;gender fluid;no;6-9-69;9000;100;200;Random;5;Brazzers;BangBros
4-1-2025 12:19:06;Business Analytics;yes;1;sigma;ja;male;yes;04-10-2003;311;11;4;10107472946391947974729472910472918462917472927492746291047272947263902716549294746829294739194737292847292748202747204726294;1;Potato;Fries
4-1-2025 12:19:06;Artificial Intelligence ;yes;1;mu;ja;male;yes;18-01-2002;300;15;20;78;23:30;-;-
4-1-2025 12:19:06;MSc Computer Science ;yes;0;mu;ja;male;yes;18/02/2001;150;30;7;“-69420”;3:00;“rm -r .”;Bouldering and hanging with the homies
4-1-2025 12:19:07;Masters in Artificial intelligence ;yes;1;mu;ja;female;yes;25/06/2003;450;50;8;7;23:00;Good food ;Nobody dies 
4-1-2025 12:19:08;computational science;yes;0;mu;nee;female;not willing to say;25-08-2000;150;98;0;23;4;no course;鲜锅兔
4-1-2025 12:19:08;Master AI;yes;1;mu;ja;male;not willing to say;23-12-2000;400;10;8;9;01:00;Nice weather;Free time
4-1-2025 12:19:09;Computer science ;yes;1;unknown;ja;male;not willing to say;30/01/2000;300;-1;12;4;1;Good food;Good weather
4-1-2025 12:19:10;Bioinformatics and Systems Biology;yes;0;mu;nee;female;yes;20-01-2002;350;30;2;9;22:30;Food;More food
4-1-2025 12:19:11;MSc AI;yes;1;mu;ja;female;yes;23;380;23;3;39587;12:30;Good food;Talking to friends
4-1-2025 12:19:11;Master AI UvA;yes;1;mu;ja;male;not willing to say;01.01.1998;500;70;2;7;23:00;Good food;Good sleep
4-1-2025 12:19:11;BioSB master;yes;0;mu;nee;male;yes;Dec 08, 2001;240;65;4;35;2 am;Cola;Gaming
4-1-2025 12:19:12;Artificial Intelligence;no;0;mu;nee;male;not willing to say;September 5;400;40;3;60000000;2am;Productivity;Friends
4-1-2025 12:19:13;Bigidagoe Econometrics ;yes;1;sigma;ja;male;not willing to say;2003 July ;220;Now? 22;9;18;02:00;Sun;Sun
4-1-2025 12:19:14;Artificial Intelligence ;yes;1;mu;ja;female;yes;11.08.2002;253;55;4;21;1:03 ;Sun ;Laughter 
4-1-2025 12:19:14;Business Analytics master;yes;1;mu;ja;male;yes;29-09;300;25;11;3891736819378483829191037;23:30;Personal record in the gym;Good food
4-1-2025 12:19:15;AI;yes;0;mu;unknown;female;yes;05-05-2002;280;20;7;93;00:10;That I feel content and happy;Doing something 
4-1-2025 12:19:17;Computer Science;no;1;sigma;nee;male;yes;04-10-2001;230;8;6;88;1:37;Good food;Girlfriend
4-1-2025 12:19:17;Master Business Analytics;yes;1;mu;ja;not willing to answer;yes;28;450;40;4,6;5,76435E+11;22:00;Cooking;Sun
4-1-2025 12:19:17;Master AI;no;0;mu;ja;female;yes;04-10-2001;200;20;8;9;00:00;Good sleep;Friends
4-1-2025 12:19:19;AI;no;0;sigma;nee;male;yes;13-07-2001;350;60;6;7;11:00;Good weather;Great food
4-1-2025 12:19:21;MS Finance (Finance & Technology);yes;0;sigma;nee;male;yes;13;550;65;2;7;12.00;Good Breakfast;Completing targetted task
4-1-2025 12:19:22;MSc Econometrics;yes;0;sigma;nee;male;yes;19 january;425;20;3;17;00:30 AM;Sleep;Meditation
4-1-2025 12:19:22;AI master;yes;1;mu;ja;male;yes;03-01-2003;300;15;9;35723490856;23:00;Sports;Time with friends
4-1-2025 12:19:22;MSc Bioinformatics and Systems Biology;yes;0;mu;unknown;female;not willing to say;09.10.2002;350;70;4.5 hours;10;00.15;having chocolate;Sun :))
4-1-2025 12:19:22;Ai;no;0;unknown;ja;female;yes;28.08.2000;500;70;1;2;00:30;The sun;Good food
